areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	C_misformation_winRate	C_misformation_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
goblin_village_1	1	0.0	2.13	0.0	1.81	0.0	1.87	0.0	1.00
goblin_village_1	2	0.0	2.94	0.0	2.60	0.0	2.58	0.0	1.29
goblin_village_1	3	0.0	2.84	0.0	2.50	0.0	5.13	0.0	1.95
goblin_village_1	4	0.0	3.04	0.0	2.78	0.0	4.62	0.0	2.17
goblin_village_1	5	0.0	3.08	0.0	2.79	0.0	4.55	0.0	2.84
goblin_village_1	6	6.0	3.04	12.0	2.54	0.0	4.92	0.0	3.22
goblin_village_1	7	49.0	2.61	59.0	2.26	0.0	6.52	0.0	3.18
goblin_village_1	8	100.0	1.87	100.0	1.89	0.0	9.19	0.0	3.18
goblin_village_1	9	100.0	1.34	100.0	1.25	93.0	2.89	0.0	2.86
goblin_village_1	10	100.0	1.20	100.0	1.14	100.0	1.53	0.0	2.75
goblin_village_1	11	100.0	1.12	100.0	1.09	100.0	1.30	0.0	2.48
goblin_village_1	12	100.0	1.06	100.0	1.04	100.0	1.18	17.0	2.03
goblin_village_1	13	100.0	1.03	100.0	1.02	100.0	1.11	98.0	1.71
goblin_village_1	14	100.0	1.01	100.0	1.00	100.0	1.09	100.0	1.46
goblin_village_1	15	100.0	1.00	100.0	1.00	100.0	1.03	100.0	1.07
goblin_village_1	16	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.04
goblin_village_1	17	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.02
goblin_village_1	18	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.01
goblin_village_1	19	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	20	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	21	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	22	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	23	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	24	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
goblin_village_1	25	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00
