areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
lizardman_swamp_2	25	1.0	2.28	0.0	2.12	0.0	2.13	0.0	2.07	3.0	2.88	0.0	2.88	2.0	2.96	0.0	1.00
lizardman_swamp_2	27	1.0	2.42	1.0	2.12	0.0	2.03	0.0	2.51	6.0	2.97	1.0	3.10	2.0	3.12	0.0	1.00
lizardman_swamp_2	29	6.0	2.31	2.0	2.11	2.0	2.02	1.0	2.83	10.0	3.02	0.0	2.85	5.0	3.02	0.0	1.03
lizardman_swamp_2	31	6.0	2.26	5.0	2.08	1.0	2.06	0.0	3.12	19.0	3.11	4.0	3.05	0.0	3.11	0.0	1.24
lizardman_swamp_2	33	30.0	2.35	11.0	2.06	13.0	2.03	0.0	3.88	66.0	3.28	5.0	2.96	5.0	3.09	0.0	1.83
lizardman_swamp_2	35	44.0	2.40	28.0	2.06	7.0	2.02	1.0	4.28	91.0	3.06	10.0	2.84	9.0	3.04	0.0	2.00
lizardman_swamp_2	37	85.0	2.20	73.0	2.07	50.0	2.03	2.0	3.63	100.0	2.61	25.0	3.06	14.0	3.02	0.0	2.00
lizardman_swamp_2	39	96.0	2.13	94.0	2.05	75.0	2.04	4.0	3.74	100.0	2.50	35.0	2.97	25.0	3.04	0.0	2.00
lizardman_swamp_2	41	99.0	2.02	100.0	2.01	98.0	2.01	1.0	4.02	100.0	2.28	44.0	2.93	48.0	2.90	0.0	2.16
lizardman_swamp_2	43	100.0	2.00	100.0	2.00	100.0	2.00	3.0	4.10	100.0	2.14	64.0	2.82	68.0	2.70	0.0	2.55
lizardman_swamp_2	45	100.0	2.00	100.0	2.00	100.0	2.00	2.0	4.11	100.0	2.11	77.0	2.72	78.0	2.58	1.0	2.71
lizardman_swamp_2	47	100.0	2.00	100.0	2.00	100.0	2.00	13.0	4.05	100.0	2.03	96.0	2.60	95.0	2.53	0.0	2.92
lizardman_swamp_2	49	100.0	2.00	100.0	1.99	100.0	1.97	11.0	4.00	100.0	2.01	98.0	2.43	97.0	2.43	2.0	3.15
lizardman_swamp_2	51	100.0	2.00	100.0	1.94	100.0	1.90	25.0	4.05	100.0	2.00	100.0	2.34	99.0	2.30	0.0	3.36
lizardman_swamp_2	53	100.0	1.95	100.0	1.83	100.0	1.78	21.0	4.03	100.0	2.00	100.0	2.27	100.0	2.16	1.0	3.18
lizardman_swamp_2	55	100.0	1.86	100.0	1.70	100.0	1.64	44.0	3.88	100.0	2.00	100.0	2.20	100.0	2.12	2.0	2.90
lizardman_swamp_2	57	100.0	1.72	100.0	1.57	100.0	1.57	51.0	3.92	100.0	2.00	100.0	2.14	100.0	2.05	2.0	2.94
lizardman_swamp_2	59	100.0	1.65	100.0	1.55	100.0	1.53	60.0	3.98	100.0	2.00	100.0	2.09	100.0	2.02	3.0	3.08
