areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
orc_camp_1	5	11.0	3.60	11.0	3.28	0.0	6.10	29.0	5.30	0.0	5.19	3.0	4.28	0.0	2.84
orc_camp_1	7	59.0	2.78	54.0	2.57	3.0	6.40	83.0	3.48	6.0	4.31	8.0	3.51	1.0	3.32
orc_camp_1	9	99.0	2.02	98.0	2.02	4.0	6.87	100.0	2.31	13.0	4.11	41.0	3.23	0.0	4.21
orc_camp_1	11	100.0	1.92	100.0	1.92	9.0	7.09	100.0	2.22	76.0	3.62	70.0	3.15	0.0	4.72
orc_camp_1	13	100.0	1.71	100.0	1.71	24.0	5.98	100.0	2.02	99.0	3.00	100.0	2.55	1.0	4.65
orc_camp_1	15	100.0	1.64	100.0	1.65	41.0	5.66	100.0	1.96	100.0	2.77	100.0	2.34	1.0	4.50
orc_camp_1	17	100.0	1.48	100.0	1.51	78.0	3.51	100.0	1.90	100.0	2.54	100.0	2.17	4.0	4.29
orc_camp_1	19	100.0	1.47	100.0	1.42	92.0	2.82	100.0	1.88	100.0	2.42	100.0	2.18	4.0	4.17
orc_camp_1	21	100.0	1.02	100.0	1.01	100.0	1.85	100.0	1.15	100.0	1.90	100.0	1.73	24.0	3.88
orc_camp_1	23	100.0	1.00	100.0	1.01	100.0	1.71	100.0	1.11	100.0	1.70	100.0	1.62	32.0	3.73
orc_camp_1	25	100.0	1.00	100.0	1.00	100.0	1.62	100.0	1.07	100.0	1.53	100.0	1.29	90.0	2.85
orc_camp_1	27	100.0	1.00	100.0	1.00	100.0	1.55	100.0	1.04	100.0	1.41	100.0	1.22	100.0	2.59
orc_camp_1	29	100.0	1.00	100.0	1.00	100.0	1.28	100.0	1.01	100.0	1.24	100.0	1.13	100.0	2.25
orc_camp_1	31	100.0	1.00	100.0	1.00	100.0	1.21	100.0	1.00	100.0	1.15	100.0	1.10	100.0	2.11
orc_camp_1	33	100.0	1.00	100.0	1.00	100.0	1.13	100.0	1.00	100.0	1.10	100.0	1.04	100.0	1.91
orc_camp_1	35	100.0	1.00	100.0	1.00	100.0	1.12	100.0	1.00	100.0	1.05	100.0	1.01	100.0	1.92
orc_camp_1	37	100.0	1.00	100.0	1.00	100.0	1.02	100.0	1.00	100.0	1.01	100.0	1.00	100.0	1.70
orc_camp_1	39	100.0	1.00	100.0	1.00	100.0	1.01	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.61
orc_camp_1	41	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.30
orc_camp_1	43	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.20
orc_camp_1	45	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.17
orc_camp_1	47	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.16
orc_camp_1	49	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.12
