areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
orc_fortress_1	25	0.0	3.34	0.0	3.00	0.0	3.07	0.0	4.41	0.0	4.65	0.0	3.83	0.0	4.82	0.0	2.00
orc_fortress_1	27	0.0	3.50	0.0	3.04	0.0	3.00	0.0	5.27	0.0	4.71	0.0	3.79	0.0	4.79	0.0	1.99
orc_fortress_1	29	0.0	3.83	0.0	3.26	0.0	3.01	0.0	6.88	0.0	4.54	0.0	3.71	0.0	4.75	0.0	2.02
orc_fortress_1	31	0.0	4.05	0.0	3.10	0.0	3.06	0.0	7.99	0.0	4.54	0.0	3.69	0.0	4.74	0.0	2.13
orc_fortress_1	33	0.0	3.77	0.0	3.06	0.0	2.97	0.0	8.15	0.0	4.54	0.0	3.51	0.0	4.57	0.0	2.45
orc_fortress_1	35	0.0	3.72	0.0	3.14	0.0	2.94	0.0	7.81	13.0	4.50	0.0	3.44	0.0	4.34	0.0	2.61
orc_fortress_1	37	0.0	3.62	0.0	3.12	0.0	3.00	0.0	7.19	64.0	4.40	0.0	3.42	0.0	4.29	0.0	2.94
orc_fortress_1	39	0.0	3.56	0.0	3.11	0.0	3.00	0.0	6.25	94.0	4.18	0.0	3.34	0.0	4.37	0.0	3.25
orc_fortress_1	41	0.0	3.66	0.0	3.12	0.0	3.01	0.0	6.86	100.0	4.03	7.0	3.32	0.0	4.27	0.0	3.44
orc_fortress_1	43	0.0	3.54	0.0	3.19	0.0	2.97	0.0	7.63	100.0	3.89	53.0	3.25	4.0	4.14	0.0	3.87
orc_fortress_1	45	0.0	3.62	0.0	3.14	0.0	2.95	0.0	8.85	100.0	3.77	80.0	3.19	43.0	4.02	0.0	4.71
orc_fortress_1	47	0.0	3.67	0.0	3.06	0.0	2.88	0.0	8.85	100.0	3.67	94.0	3.09	96.0	3.93	0.0	5.19
orc_fortress_1	49	0.0	3.55	0.0	2.98	0.0	2.80	0.0	8.62	100.0	3.54	97.0	2.99	99.0	3.80	0.0	4.94
orc_fortress_1	51	0.0	3.49	0.0	2.94	0.0	2.77	0.0	9.70	100.0	3.43	100.0	2.91	100.0	3.72	0.0	4.84
orc_fortress_1	53	3.0	3.39	1.0	2.93	2.0	2.76	0.0	10.49	100.0	3.33	100.0	2.83	99.0	3.56	0.0	4.71
orc_fortress_1	55	9.0	3.34	14.0	2.92	18.0	2.69	0.0	11.93	100.0	3.24	100.0	2.76	100.0	3.43	0.0	4.22
orc_fortress_1	57	17.0	3.33	38.0	2.86	34.0	2.65	0.0	13.81	100.0	3.16	100.0	2.66	100.0	3.34	0.0	4.03
orc_fortress_1	59	50.0	3.13	57.0	2.73	71.0	2.52	0.0	15.69	100.0	3.10	100.0	2.59	100.0	3.24	0.0	4.05
orc_fortress_1	61	88.0	2.79	88.0	2.52	93.0	2.38	0.0	15.97	100.0	3.01	100.0	2.53	100.0	3.14	0.0	4.19
orc_fortress_1	63	100.0	2.41	100.0	2.30	99.0	2.27	0.0	16.41	100.0	2.86	100.0	2.44	100.0	3.05	0.0	4.39
orc_fortress_1	65	100.0	2.30	100.0	2.23	100.0	2.22	0.0	15.97	100.0	2.76	100.0	2.38	100.0	2.89	0.0	4.39
