areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
subjugation_force_1	35	0.0	4.99	0.0	3.65	0.0	3.20	0.0	10.03	1.0	4.89	1.0	3.48	0.0	3.59	0.0	1.05
subjugation_force_1	37	3.0	6.17	1.0	3.62	0.0	3.27	0.0	6.14	4.0	6.38	0.0	3.46	0.0	3.70	0.0	1.48
subjugation_force_1	39	2.0	6.59	1.0	4.40	0.0	3.36	0.0	6.56	2.0	6.19	0.0	3.78	0.0	3.96	0.0	1.79
subjugation_force_1	41	6.0	6.79	3.0	5.00	0.0	3.72	0.0	4.84	8.0	7.00	0.0	3.81	0.0	4.13	0.0	1.98
subjugation_force_1	43	14.0	6.88	9.0	5.34	2.0	3.96	0.0	5.50	11.0	6.99	0.0	3.63	0.0	3.97	0.0	2.00
subjugation_force_1	45	16.0	6.77	9.0	5.26	5.0	3.95	0.0	6.26	20.0	6.73	0.0	3.71	0.0	4.31	0.0	2.00
subjugation_force_1	47	20.0	6.39	31.0	4.91	7.0	4.00	0.0	6.85	23.0	6.59	1.0	3.72	1.0	4.54	0.0	2.00
subjugation_force_1	49	40.0	6.33	35.0	5.24	21.0	3.98	0.0	6.33	34.0	5.91	0.0	3.76	3.0	4.78	0.0	2.01
subjugation_force_1	51	57.0	5.79	54.0	5.18	45.0	4.34	0.0	6.55	59.0	5.77	2.0	3.70	1.0	4.60	0.0	2.07
subjugation_force_1	53	74.0	5.37	77.0	4.70	63.0	4.24	0.0	7.40	75.0	5.34	2.0	3.70	6.0	4.55	0.0	2.29
subjugation_force_1	55	86.0	4.86	91.0	4.21	84.0	4.09	0.0	7.67	89.0	4.76	6.0	3.51	5.0	4.60	0.0	2.61
subjugation_force_1	57	87.0	4.55	97.0	3.85	93.0	3.89	0.0	8.81	91.0	4.44	6.0	3.66	7.0	4.47	0.0	2.76
subjugation_force_1	59	97.0	3.97	98.0	3.52	98.0	3.53	0.0	9.43	100.0	3.93	16.0	3.65	15.0	4.39	0.0	2.89
subjugation_force_1	61	100.0	3.68	100.0	3.30	99.0	3.34	0.0	9.43	100.0	3.71	20.0	3.59	18.0	4.27	0.0	3.06
subjugation_force_1	63	100.0	3.42	100.0	3.11	100.0	3.17	2.0	9.12	100.0	3.46	34.0	3.55	43.0	4.51	0.0	3.48
subjugation_force_1	65	100.0	3.23	100.0	2.97	100.0	3.02	0.0	8.65	100.0	3.25	54.0	3.45	74.0	4.49	0.0	3.76
subjugation_force_1	67	100.0	3.09	100.0	2.91	100.0	2.90	7.0	8.25	100.0	3.15	87.0	3.43	95.0	4.13	0.0	4.33
subjugation_force_1	69	100.0	3.03	100.0	2.73	100.0	2.68	4.0	7.93	100.0	3.06	97.0	3.29	99.0	3.85	0.0	4.44
