areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
wolf_grassland_1	15	0.0	2.17	0.0	2.00	0.0	1.99	0.0	2.00	0.0	2.25	0.0	2.00	0.0	2.00	0.0	1.00
wolf_grassland_1	17	0.0	2.09	0.0	2.18	0.0	2.09	0.0	2.26	0.0	3.07	0.0	2.11	0.0	2.09	0.0	1.00
wolf_grassland_1	19	0.0	1.93	0.0	2.08	0.0	2.06	0.0	2.65	0.0	2.81	0.0	2.43	0.0	2.34	0.0	1.00
wolf_grassland_1	21	0.0	2.08	0.0	1.85	0.0	1.78	0.0	3.13	0.0	3.10	0.0	3.49	0.0	3.37	0.0	1.35
wolf_grassland_1	23	0.0	2.04	0.0	1.96	0.0	1.87	0.0	3.52	0.0	2.89	0.0	2.63	0.0	2.42	0.0	1.51
wolf_grassland_1	25	0.0	2.09	0.0	1.88	0.0	1.77	0.0	4.30	0.0	2.31	0.0	2.31	0.0	2.36	0.0	2.00
wolf_grassland_1	27	2.0	2.06	0.0	1.80	0.0	1.77	0.0	3.57	2.0	2.39	0.0	2.45	0.0	2.41	0.0	2.00
wolf_grassland_1	29	5.0	2.06	1.0	1.73	0.0	1.62	0.0	3.19	5.0	2.41	0.0	2.38	0.0	2.15	0.0	2.00
wolf_grassland_1	31	16.0	2.08	5.0	1.48	0.0	1.50	0.0	3.76	56.0	2.42	0.0	2.25	0.0	2.26	0.0	2.02
wolf_grassland_1	33	69.0	1.70	27.0	1.38	5.0	1.38	0.0	3.43	100.0	1.99	0.0	2.24	1.0	2.17	0.0	2.60
wolf_grassland_1	35	90.0	1.47	57.0	1.22	22.0	1.30	0.0	3.53	100.0	1.92	1.0	2.22	0.0	2.19	0.0	3.01
wolf_grassland_1	37	100.0	1.08	99.0	1.03	84.0	1.10	1.0	3.70	100.0	1.78	8.0	2.19	15.0	2.12	0.0	3.17
wolf_grassland_1	39	100.0	1.02	100.0	1.01	100.0	1.01	0.0	3.79	100.0	1.65	19.0	2.15	31.0	2.09	0.0	3.17
wolf_grassland_1	41	100.0	1.00	100.0	1.00	100.0	1.00	2.0	3.92	100.0	1.38	79.0	2.05	95.0	1.92	0.0	2.52
wolf_grassland_1	43	100.0	1.00	100.0	1.00	100.0	1.00	4.0	4.07	100.0	1.23	98.0	1.96	100.0	1.82	0.0	2.60
wolf_grassland_1	45	100.0	1.00	100.0	1.00	100.0	1.00	14.0	4.47	100.0	1.09	100.0	1.92	100.0	1.71	0.0	2.74
wolf_grassland_1	47	100.0	1.00	100.0	1.00	100.0	1.00	48.0	5.03	100.0	1.03	100.0	1.85	100.0	1.58	0.0	2.73
wolf_grassland_1	49	100.0	1.00	100.0	1.00	100.0	1.00	100.0	4.53	100.0	1.01	100.0	1.77	100.0	1.47	0.0	2.48
wolf_grassland_1	51	100.0	1.00	100.0	1.00	100.0	1.00	100.0	3.73	100.0	1.00	100.0	1.65	100.0	1.39	0.0	2.36
wolf_grassland_1	53	100.0	1.00	100.0	1.00	100.0	1.00	100.0	3.14	100.0	1.00	100.0	1.60	100.0	1.23	0.0	2.40
wolf_grassland_1	55	100.0	1.00	100.0	1.00	100.0	1.00	100.0	2.48	100.0	1.00	100.0	1.49	100.0	1.11	0.0	2.38
wolf_grassland_1	57	100.0	1.00	100.0	1.00	100.0	1.00	100.0	2.03	100.0	1.00	100.0	1.37	100.0	1.03	0.0	2.33
wolf_grassland_1	59	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.84	100.0	1.00	100.0	1.26	100.0	1.00	0.0	2.31
