area_id,area_level,tier,effective_area_level,party_level,seeds,floor_success_rate,floor_progress_score,median_success_rate,median_progress_score,ceiling_success_rate,ceiling_progress_score,ceiling_minus_floor
slime_cave,1,0,1,1,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
slime_cave,1,1,4,1,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
slime_cave,1,2,6,1,100,15.0,0.700,98.0,1.549,98.0,1.549,0.850
slime_cave,1,3,8,1,100,0.0,0.372,0.0,0.483,0.0,0.483,0.111
forest_outskirts,2,0,2,2,100,0.0,0.414,0.0,0.450,20.0,0.715,0.300
forest_outskirts,2,1,6,2,100,0.0,0.262,0.0,0.299,0.0,0.337,0.075
forest_outskirts,2,2,8,2,100,0.0,0.235,0.0,0.243,0.0,0.261,0.025
forest_outskirts,2,3,11,2,100,0.0,0.157,0.0,0.190,0.0,0.241,0.085
goblin_village_1,10,0,10,10,100,0.0,0.360,0.0,0.472,100.0,1.500,1.140
goblin_village_1,10,1,19,10,100,0.0,0.109,0.0,0.155,0.0,0.298,0.189
goblin_village_1,10,2,25,10,100,0.0,0.079,0.0,0.095,0.0,0.129,0.050
goblin_village_1,10,3,33,10,100,0.0,0.064,0.0,0.074,0.0,0.067,0.003
forest_edge_village,9,0,9,9,100,0.0,0.133,0.0,0.214,0.0,0.266,0.134
forest_edge_village,9,1,17,9,100,0.0,0.086,0.0,0.098,0.0,0.146,0.060
forest_edge_village,9,2,23,9,100,0.0,0.074,0.0,0.083,0.0,0.109,0.035
forest_edge_village,9,3,30,9,100,0.0,0.064,0.0,0.070,0.0,0.082,0.018
old_well_waterway,10,0,10,10,100,0.0,0.153,0.0,0.170,0.0,0.315,0.161
old_well_waterway,10,1,19,10,100,0.0,0.092,0.0,0.104,0.0,0.151,0.059
old_well_waterway,10,2,25,10,100,0.0,0.077,0.0,0.088,0.0,0.100,0.023
old_well_waterway,10,3,33,10,100,0.0,0.071,0.0,0.072,0.0,0.082,0.012
undead_ruins_1,18,0,18,18,100,0.0,0.221,0.0,0.233,0.0,0.422,0.201
undead_ruins_1,18,1,31,18,100,0.0,0.116,0.0,0.123,0.0,0.235,0.119
undead_ruins_1,18,2,42,18,100,0.0,0.091,0.0,0.096,0.0,0.146,0.055
undead_ruins_1,18,3,55,18,100,0.0,0.071,0.0,0.075,0.0,0.094,0.023
bandit_hideout,20,0,20,20,100,0.0,0.177,0.0,0.259,0.0,0.350,0.174
bandit_hideout,20,1,34,20,100,0.0,0.088,0.0,0.094,0.0,0.167,0.079
bandit_hideout,20,2,46,20,100,0.0,0.073,0.0,0.075,0.0,0.087,0.014
bandit_hideout,20,3,60,20,100,0.0,0.065,0.0,0.067,0.0,0.071,0.006
road_1,25,0,25,25,100,0.0,0.255,0.0,0.327,100.0,1.500,1.245
road_1,25,1,42,25,100,0.0,0.109,0.0,0.127,0.0,0.264,0.155
road_1,25,2,56,25,100,0.0,0.087,0.0,0.094,0.0,0.131,0.044
road_1,25,3,74,25,100,0.0,0.072,0.0,0.072,0.0,0.074,0.002
orc_camp_1,14,0,14,14,100,0.0,0.244,0.0,0.371,100.0,1.500,1.256
orc_camp_1,14,1,25,14,100,0.0,0.098,0.0,0.151,54.0,1.119,1.021
orc_camp_1,14,2,33,14,100,0.0,0.082,0.0,0.124,0.0,0.247,0.165
orc_camp_1,14,3,44,14,100,0.0,0.073,0.0,0.098,0.0,0.130,0.057
human_village,21,0,21,21,100,0.0,0.305,0.0,0.508,100.0,1.500,1.195
human_village,21,1,36,21,100,0.0,0.113,0.0,0.238,95.0,1.549,1.436
human_village,21,2,48,21,100,0.0,0.075,0.0,0.139,0.0,0.274,0.198
human_village,21,3,63,21,100,0.0,0.066,0.0,0.101,0.0,0.126,0.060
wolf_grassland_1,30,0,30,30,100,0.0,0.103,0.0,0.260,100.0,1.500,1.397
wolf_grassland_1,30,1,50,30,100,0.0,0.062,0.0,0.091,0.0,0.146,0.084
wolf_grassland_1,30,2,67,30,100,0.0,0.060,0.0,0.078,0.0,0.081,0.021
wolf_grassland_1,30,3,88,30,100,0.0,0.060,0.0,0.069,0.0,0.064,0.004
subjugation_force_1,68,0,68,68,100,0.0,0.157,0.0,0.256,0.0,0.401,0.244
subjugation_force_1,68,1,110,68,100,0.0,0.058,0.0,0.089,0.0,0.119,0.061
subjugation_force_1,68,2,147,68,100,0.0,0.051,0.0,0.067,0.0,0.079,0.027
subjugation_force_1,68,3,192,68,100,0.0,0.048,0.0,0.057,0.0,0.058,0.011
spider_forest_1,46,0,46,46,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
spider_forest_1,46,1,75,46,100,0.0,0.504,100.0,1.500,100.0,1.500,0.996
spider_forest_1,46,2,101,46,100,0.0,0.295,0.0,0.497,1.0,0.525,0.230
spider_forest_1,46,3,132,46,100,0.0,0.155,0.0,0.283,0.0,0.296,0.141
dead_grave_1,46,0,46,46,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
dead_grave_1,46,1,75,46,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
dead_grave_1,46,2,101,46,100,0.0,0.415,85.0,1.415,97.0,1.533,1.118
dead_grave_1,46,3,132,46,100,0.0,0.255,0.0,0.401,0.0,0.414,0.158
hobbit_hills_1,50,0,50,50,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
hobbit_hills_1,50,1,82,50,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
hobbit_hills_1,50,2,109,50,100,97.0,1.567,100.0,1.500,100.0,1.500,-0.067
hobbit_hills_1,50,3,143,50,100,0.0,0.415,0.0,0.483,0.0,0.525,0.110
dwarf_mine_1,50,0,50,50,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
dwarf_mine_1,50,1,82,50,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
dwarf_mine_1,50,2,109,50,100,0.0,0.481,0.0,0.507,0.0,0.544,0.062
dwarf_mine_1,50,3,143,50,100,0.0,0.321,0.0,0.350,0.0,0.383,0.062
elf_forest_1,45,0,45,45,100,100.0,1.500,100.0,1.500,100.0,1.500,0.000
