area_id,depth,area_level,optimal_required_level,floor_required_level,median_success_at_Lstar,strategist_success_at_Lstar,strategy_premium,search_level,job_count,variant_count,front_count,best_build
slime_cave,0,1,3,3,100.0,100.0,0.0,3,6,0,3,F[job:素] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
forest_outskirts,1,2,8,8,100.0,100.0,0.0,5,5,1,3,F[亜種:slime] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
goblin_village_1,2,10,10,16,0.0,100.0,100.0,10,5,1,3,F[亜種:slime] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
forest_edge_village,3,9,30,50,0.0,100.0,100.0,30,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
old_well_waterway,4,10,20,60,0.0,96.7,96.7,40,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
undead_ruins_1,5,18,40,70,0.0,100.0,100.0,40,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
bandit_hideout,6,20,25,70,0.0,100.0,100.0,40,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
road_1,7,25,30,70,0.0,90.0,90.0,40,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
orc_camp_1,8,14,10,40,0.0,100.0,100.0,20,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
human_village,9,21,10,50,0.0,100.0,100.0,25,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
orc_fortress_1,9,45,25,150,0.0,100.0,100.0,80,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
wolf_grassland_1,10,30,16,100,0.0,100.0,100.0,50,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
subjugation_force_1,10,68,30,180,0.0,100.0,100.0,80,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
lizardman_swamp_1,11,44,30,180,0.0,96.7,96.7,80,6,0,3,F[job:guard] F[job:rider] F[job:warrior] B[job:cleric] B[job:mage] B[job:cleric]
spider_forest_1,11,46,10,25,10.0,100.0,90.0,10,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
dead_grave_1,12,46,8,16,90.0,100.0,10.0,5,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
harpy_cliff_1,13,46,10,30,0.0,96.7,96.7,16,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
human_fortress_1,14,47,8,25,0.0,100.0,100.0,10,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
vampire_castle_1,15,55,10,25,3.3,100.0,96.7,10,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_1,16,160,8,25,0.0,100.0,100.0,10,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_2,17,170,8,40,0.0,100.0,100.0,10,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
dragon_volcano_1,18,48,13,40,0.0,100.0,100.0,20,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_3,19,180,10,40,0.0,100.0,100.0,16,6,0,3,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
