area_id,depth,area_level,floor_clear_level,floor_best_defeat_ratio,floor_best_lose_rounds
slime_cave,0,1,3,100,0.0
forest_outskirts,1,2,8,100,0.0
goblin_village_1,2,10,16,100,0.0
forest_edge_village,3,9,50,100,0.0
old_well_waterway,4,10,60,100,0.0
undead_ruins_1,5,18,70,100,0.0
bandit_hideout,6,20,70,100,0.0
road_1,7,25,70,100,0.0
orc_camp_1,8,14,40,100,0.0
human_village,9,21,50,100,0.0
orc_fortress_1,9,45,150,100,0.0
wolf_grassland_1,10,30,100,100,0.0
subjugation_force_1,10,68,180,100,5.5
lizardman_swamp_1,11,44,180,100,0.0
spider_forest_1,11,46,25,100,6.0
dead_grave_1,12,46,16,100,0.0
harpy_cliff_1,13,46,30,100,0.0
human_fortress_1,14,47,25,100,7.0
vampire_castle_1,15,55,25,99,4.3
royal_capital_1,16,160,25,100,3.0
royal_capital_2,17,170,40,100,0.0
dragon_volcano_1,18,48,40,100,11.8
royal_capital_3,19,180,40,100,6.5
