area_id,tier,tier_name,floor_req_level,strategist_req_level
slime_cave,0,通常,3,3
slime_cave,1,魔性,3,3
slime_cave,2,宿った,3,3
slime_cave,3,伝説,5,3
slime_cave,4,恐ろしい,10,5
forest_outskirts,0,通常,8,3
forest_outskirts,1,魔性,16,5
forest_outskirts,2,宿った,30,8
forest_outskirts,3,伝説,50,10
forest_outskirts,4,恐ろしい,70,20
goblin_village_1,0,通常,16,5
goblin_village_1,1,魔性,50,10
goblin_village_1,2,宿った,100,25
goblin_village_1,3,伝説,150,30
goblin_village_1,4,恐ろしい,>300,120
forest_edge_village,0,通常,50,16
forest_edge_village,1,魔性,100,50
forest_edge_village,2,宿った,180,50
forest_edge_village,3,伝説,>300,50
forest_edge_village,4,恐ろしい,>300,120
old_well_waterway,0,通常,60,25
old_well_waterway,1,魔性,120,50
old_well_waterway,2,宿った,220,60
old_well_waterway,3,伝説,>300,70
old_well_waterway,4,恐ろしい,>300,150
undead_ruins_1,0,通常,70,20
undead_ruins_1,1,魔性,150,50
undead_ruins_1,2,宿った,>300,100
undead_ruins_1,3,伝説,>300,120
undead_ruins_1,4,恐ろしい,>300,>300
bandit_hideout,0,通常,70,20
bandit_hideout,1,魔性,180,50
bandit_hideout,2,宿った,>300,100
bandit_hideout,3,伝説,>300,220
bandit_hideout,4,恐ろしい,>300,>300
road_1,0,通常,70,16
road_1,1,魔性,180,40
road_1,2,宿った,>300,60
road_1,3,伝説,>300,80
road_1,4,恐ろしい,>300,120
orc_camp_1,0,通常,70,25
orc_camp_1,1,魔性,180,40
orc_camp_1,2,宿った,>300,70
orc_camp_1,3,伝説,>300,150
orc_camp_1,4,恐ろしい,>300,>300
human_village,0,通常,80,10
human_village,1,魔性,180,20
human_village,2,宿った,>300,40
human_village,3,伝説,>300,60
human_village,4,恐ろしい,>300,120
wolf_grassland_1,0,通常,100,10
wolf_grassland_1,1,魔性,220,30
wolf_grassland_1,2,宿った,>300,50
wolf_grassland_1,3,伝説,>300,70
wolf_grassland_1,4,恐ろしい,>300,150
lizardman_swamp_1,0,通常,180,25
lizardman_swamp_1,1,魔性,>300,60
lizardman_swamp_1,2,宿った,>300,100
lizardman_swamp_1,3,伝説,>300,150
lizardman_swamp_1,4,恐ろしい,>300,>300
orc_fortress_1,0,通常,150,16
orc_fortress_1,1,魔性,>300,50
orc_fortress_1,2,宿った,>300,70
orc_fortress_1,3,伝説,>300,120
orc_fortress_1,4,恐ろしい,>300,220
subjugation_force_1,0,通常,220,25
subjugation_force_1,1,魔性,>300,60
subjugation_force_1,2,宿った,>300,70
subjugation_force_1,3,伝説,>300,120
subjugation_force_1,4,恐ろしい,>300,180
