area_id,depth,area_level,floor_required_level,strategist_required_level,strategy_premium,classification,best_build
slime_cave,0,1,3,3,0.0,【空洞】,F[job:素] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
forest_outskirts,1,2,8,8,0.0,【空洞】,F[亜種:slime] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
goblin_village_1,2,10,16,10,100.0,【空洞】,F[亜種:slime] F[job:素] F[job:素] B[job:素] B[job:素] B[job:素]
forest_edge_village,3,9,50,30,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
old_well_waterway,4,10,60,20,96.7,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
undead_ruins_1,5,18,70,40,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
bandit_hideout,6,20,70,25,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
road_1,7,25,70,30,90.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:mage] B[job:mage] B[job:mage]
orc_camp_1,8,14,40,10,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
human_village,9,21,50,10,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
orc_fortress_1,9,45,150,25,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
wolf_grassland_1,10,30,100,16,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
subjugation_force_1,10,68,180,30,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
lizardman_swamp_1,11,44,180,30,96.7,【戦略の壁】,F[job:guard] F[job:rider] F[job:warrior] B[job:cleric] B[job:mage] B[job:cleric]
spider_forest_1,11,46,25,10,90.0,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
dead_grave_1,12,46,16,8,10.0,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
harpy_cliff_1,13,46,30,10,96.7,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
human_fortress_1,14,47,25,8,100.0,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
vampire_castle_1,15,55,25,10,96.7,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_1,16,160,25,8,100.0,【空洞】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_2,17,170,40,8,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
dragon_volcano_1,18,48,40,13,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
royal_capital_3,19,180,40,10,100.0,【戦略の壁】,F[job:guard] F[job:warrior] F[job:thief] B[job:cleric] B[job:mage] B[job:cleric]
